,symbol,category,PE_ratio,perc_high,perc_low,close_price,sma200,sma100,sma50,sma20,sma10,bollinger_signal,rsi_signal,stoch_signal,supertrend_signal
158,MANAPPURAM,mid,19.6,5.612495612495596,,269.92,200.42625,222.62820000000002,237.4648,249.5605,265.921,sell,sell,sell,probability to rise more
159,REDINGTON,mid,17.78,5.680966806736374,,295.4,220.30249999999992,245.8891999999999,259.0220000000001,278.933,290.745,sell,hold,sell,probability to rise more
160,DEEPAKFERT,mid,21.01,5.192425167990225,,1561.6,1202.9479999999996,1230.5189999999998,1364.5090000000002,1500.275,1554.9899999999998,sell,sell,sell,probability to rise more
174,CEIGALL,mid,15.03,,5.899554990464089,245.37,308.74899999999985,262.94550000000004,254.7270000000001,250.01999999999998,250.496,hold,hold,buy,probability to rise more
